text,label
I can't breathe!,1
Need assistance urgently!,1
"Helping others feels good",0
"I love to help at the local shelter",0
"He helped me with my groceries",0
"Asking for help is not a weakness",0
"Teamwork means helping one another",0
"I can't breathe!",1
"Need assistance urgently!",1
"Help me pick out a gift for her birthday",0
"We help each other grow",0
"Can you help me move this weekend?",0
"Oxygen is essential for life",0
"The firefighters rushed to help the family",1
"She needs some help with her homework",0
"The diver signaled for oxygen",1
"He offered to help me with my taxes",0
"Help! I think I broke my ankle!",1
"Oxygen tanks are used during mountain climbing",0
"Helping at a food drive makes me feel grateful",0
"I need help assembling this furniture",0
"Emergency evacuation required!",1
"Assistance needed in aisle 5",1
"Oxygen levels are critically low!",1
"Helping someone smile is the best feeling",0
"I enjoy helping my little brother with his homework",0
"Oxygen masks dropped from the airplane ceiling",1
"I could use some help gardening today",0
"Medical emergency! Please help!",1
"I love to volunteer and help in my community",0
"The nurse gave him oxygen after the race",1
"Can someone help me find my lost dog?",0
"Emergency responders are on the way",1
"Oxygen therapy helped improve his breathing",0
"Helping the elderly cross the street",0
"I need help understanding this recipe",0
"Emergency! Call 911 immediately!",1
"Oxygen supply interrupted during surgery!",1
"Help me understand this math problem",0
"She is helping organize the event",0
"Sudden chest pain! Need help now!",1
"Help is on the way!",1
"Oxygen is being delivered to the patients",0
"Helping hands make light work",0
"Assistance required for patient transport",1
"I love helping animals at the shelter",0
"Help! There's a fire!",1
"Providing oxygen to newborns in the NICU",0
"Can you help me lift this box?",0
"We help out at the food pantry every week",0
"Major accident! Emergency help needed!",1
"Oxygen tank leaking! Immediate action required!",1
"Helping kids learn how to swim",0
"I'll help you clean up after the party",0
"Help! Someone is drowning!",1
"Requesting emergency oxygen backup!",1
Collapsed in the bathroom!,1
Sharp chest pain!,1
Help me stand up!,1
Everything is fine.,0
Just taking my medication.,0
Had lunch and feel good.,0
Reading my book now.,0
Going for a walk.,0
Feeling dizzy and weak!,1
I fell but I'm okay.,1
Calling for help!,1
Stable and resting.,0
Feeling strong today.,0
i fell.,1
i fell down.,1
ahhh.,1
ah.,1
My heart is racing watching this movie!,0
My heart races when I exercise.,0
Exciting match my heart is beating fast!,0
This song makes my heart race!,0
My heart was pounding during the game!,0
Feeling emotional heart's racing.,0
My heart races when I'm happy!,0
Got scared by the movie heart pounding!,0
My heart is racing and I feel dizzy!,1  
My chest hurts and my heart is racing!,1  
Sudden rapid heartbeat help!,1  
Uncontrolled heartbeat I feel faint!,1  
help.,1
heart rate 157 and dizzy!,1
account bp crashing! republican.,1
while severe shivering! along.,1
summer accident here! material.,1
blood pressure 87 over 46!,1
as help! on.,1
call doctor,1
call me,0
four fainting feeling! your.,1
spo2 reading shows 75 percent!,1
measure chest pain! practice.,1
can't breathe properly with this oxygen mask!,1
spo2 reading shows 76 percent!,1
size spo2 below 90! vote.,1
media bp crashing! on.,1
hundred intruder alert! sense.,1
television can't breathe! similar.,1
television someone help! sit.,1
together accident here! cause.,1
temperature 39.7°c!,1
rock sudden dizziness! behavior.,1
spo2 reading shows 86 percent!,1
heart rate 164 and dizzy!,1
score low blood oxygen! network.,1
office oxygen level low! manager.,1
president oxygen tube disconnected! friend.,1
design dehydration symptoms! accept.,1
the falling pulse ox! station.,1
heart rate 168 and dizzy!,1
allow accident here! check.,1
very irregular heartbeat! voice.,1
along can't breathe properly! hope.,1
century unresponsive! do.,1
heart rate 178 and dizzy!,1
spo2 reading shows 86 percent!,1
temperature 41.4°c!,1
blood pressure 75 over 44!,1
soldier i'm injured! gas.,1
force can't breathe properly! information.,1
better bleeding badly! society.,1
area oxygen tube disconnected! building.,1
blood pressure 84 over 43!,1
blood pressure 72 over 50!,1
actually oxygen level low! herself.,1
spo2 reading shows 87 percent!,1
never unresponsive! position.,1
my oxygen is at 80 and dropping!,1
spo2 reading shows 84 percent!,1
bag fainting feeling! stuff.,1
buy medication missed! quality.,1
my oxygen is at 77 and dropping!,1
chair spo2 below 90! protect.,1
us i'm injured! next.,1
spo2 reading shows 80 percent!,1
special falling pulse ox! half.,1
heart rate 121 and dizzy!,1
point emergency! south.,1
can't breathe properly with this oxygen mask!,1
middle severe shivering! thing.,1
spo2 reading shows 78 percent!,1
guess can't breathe properly! camera.,1
particularly oxygen tube disconnected! night.,1
heart rate 133 and dizzy!,1
box dehydration symptoms! appear.,1
might hyperthermia alert! song.,1
heart rate 135 and dizzy!,1
instead bp crashing! alone.,1
throw i'm injured! behind.,1
heart rate 173 and dizzy!,1
yourself spo2 below 90! learn.,1
draw cold and clammy! especially.,1
temperature 40.6°c!,1
better fever spiking! many.,1
my oxygen is at 79 and dropping!,1
green hypothermia warning! pay.,1
medical falling pulse ox! tax.,1
spo2 reading shows 78 percent!,1
although severe shivering! color.,1
too intruder alert! employee.,1
blood pressure 77 over 55!,1
offer i need assistance! main.,1
century oxygen level low! require.,1
kitchen irregular heartbeat! international.,1
east hypothermia warning! hit.,1
whatever oxygen level low! per.,1
decade fire! name.,1
my oxygen is at 70 and dropping!,1
thing panic attack! medical.,1
officer respiratory distress! measure.,1
heart rate 132 and dizzy!,1
drug oxygen level low! reach.,1
difficult hyperthermia alert! west.,1
time heart rate dropping! avoid.,1
new fainting feeling! successful.,1
my oxygen is at 79 and dropping!,1
heart rate 167 and dizzy!,1
talk bleeding badly! give.,1
into respiratory distress! chair.,1
contain bleeding badly! story.,1
blood pressure 79 over 45!,1
everything i'm injured! success.,1
sea can't breathe properly! management.,1
upon o2 sensor alarm! study.,1
lay accident here! political.,1
temperature 40.3°c!,1
put call 911! study.,1
turn medication missed! this.,1
product falling pulse ox! bag.,1
temperature 41.5°c!,1
young i need assistance! table.,1
enough irregular heartbeat! describe.,1
least help! begin.,1
cover intruder alert! what.,1
heart rate 133 and dizzy!,1
can't breathe properly with this oxygen mask!,1
pass panic attack! sell.,1
civil fainting feeling! usually.,1
each o2 sensor alarm! property.,1
maintain panic attack! music.,1
smile accident here! wear.,1
heart rate 175 and dizzy!,1
can't breathe properly with this oxygen mask!,1
magazine bp crashing! miss.,1
according emergency! news.,1
people irregular heartbeat! fly.,1
nature coughing blood! space.,1
animal irregular heartbeat! party.,1
stop medication missed! affect.,1
after emergency! possible.,1
pick fire! like.,1
against dehydration symptoms! everything.,1
fast severe shivering! just.,1
seat someone help! avoid.,1
door vision blurring! resource.,1
wife coughing blood! training.,1
throughout severe shivering! it.,1
where can't reach alert button! do.,1
my oxygen is at 81 and dropping!,1
can't breathe properly with this oxygen mask!,1
such can't reach alert button! offer.,1
spo2 reading shows 81 percent!,1
reach medication missed! loss.,1
yeah chest pain! party.,1
me bp crashing! despite.,1
determine emergency! tax.,1
blood pressure 89 over 46!,1
pretty irregular heartbeat! professional.,1
exactly vision blurring! imagine.,1
hot irregular heartbeat! phone.,1
feeling i need assistance! end.,1
bill temperature critical! poor.,1
read panic attack! interesting.,1
memory sudden dizziness! answer.,1
wide o2 sensor alarm! cost.,1
employee i need assistance! institution.,1
second hyperthermia alert! just.,1
blood pressure 86 over 52!,1
music coughing blood! hold.,1
key oxygen level low! six.,1
temperature 41.4°c!,1
my oxygen is at 81 and dropping!,1
into emergency! matter.,1
spo2 reading shows 80 percent!,1
television i need assistance! phone.,1
spo2 reading shows 87 percent!,1
ago intruder alert! manager.,1
true fever spiking! evening.,1
small chest pain! even.,1
try respiratory distress! plant.,1
decision medication missed! understand.,1
sell help! event.,1
authority vision blurring! watch.,1
blood pressure 73 over 48!,1
good can't breathe! deep.,1
left cold and clammy! newspaper.,1
situation chest pain! born.,1
simple cold and clammy! fast.,1
artist bleeding badly! size.,1
lead bleeding badly! agreement.,1
represent vision blurring! measure.,1
activity medication missed! no.,1
my oxygen is at 87 and dropping!,1
save low blood oxygen! fly.,1
about respiratory distress! very.,1
citizen bp crashing! american.,1
society intruder alert! society.,1
between respiratory distress! finish.,1
machine heart attack! away.,1
spo2 reading shows 87 percent!,1
soon temperature critical! foreign.,1
can't breathe properly with this oxygen mask!,1
notice dehydration symptoms! trade.,1
my oxygen is at 82 and dropping!,1
professor oxygen level low! central.,1
temperature 41.6°c!,1
conference bleeding badly! cause.,1
major help! mrs.,1
talk can't breathe properly! try.,1
temperature 39.0°c!,1
attention intruder alert! investment.,1
bit i need assistance! participant.,1
similar fire! song.,1
my oxygen is at 87 and dropping!,1
modern irregular heartbeat! end.,1
my oxygen is at 71 and dropping!,1
focus panic attack! true.,1
forward low blood oxygen! point.,1
spo2 reading shows 87 percent!,1
spo2 reading shows 82 percent!,1
shoulder i need assistance! begin.,1
red fainting feeling! military.,1
owner unresponsive! charge.,1
task accident here! pressure.,1
commercial help! name.,1
speak heart rate dropping! but.,1
temperature 41.8°c!,1
maybe severe shivering! day.,1
course cold and clammy! usually.,1
blood pressure 80 over 42!,1
fly can't breathe properly! standard.,1
heart rate 156 and dizzy!,1
my oxygen is at 88 and dropping!,1
spo2 reading shows 86 percent!,1
win can't reach alert button! explain.,1
career low blood oxygen! visit.,1
while bleeding badly! system.,1
heart rate 169 and dizzy!,1
my oxygen is at 78 and dropping!,1
my oxygen is at 74 and dropping!,1
