text,label
word someone help! most.,1
side fall accident! half.,1
begin stroke symptoms! strong.,1
number choking! think.,1
material call 911! religious.,1
factor suicide attempt! care.,1
yourself mental crisis! soon.,1
what suspicious package! feeling.,1
war kidnapping! might.,1
service electric shock! financial.,1
system severe pain! suddenly.,1
charge fall accident! avoid.,1
appear car crash! i.,1
success help! cup.,1
safe i need assistance! ten.,1
about domestic violence! until.,1
well suspicious package! process.,1
decide stroke symptoms! single.,1
yes i'm injured! effort.,1
team suffocating! two.,1
car fire! policy.,1
benefit unconscious person! one.,1
school call 911! environment.,1
add cyber attack! career.,1
author severe bleeding! surface.,1
commercial accident here! crime.,1
join electric shock! partner.,1
cultural stroke symptoms! suggest.,1
toward poisoning! catch.,1
service hacked account! even.,1
follow can't breathe! card.,1
around kidnapping! east.,1
discover help! energy.,1
success armed robbery! oil.,1
clearly severe pain! similar.,1
manager emergency! machine.,1
grow cyber attack! of.,1
weight drowning! police.,1
her explosion! successful.,1
short accident here! now.,1
over someone help! table.,1
this armed robbery! way.,1
yourself explosion! group.,1
positive bleeding badly! evidence.,1
career severe pain! minute.,1
north seizure! responsibility.,1
really suicide attempt! include.,1
film missing person! chair.,1
a someone help! action.,1
million bleeding badly! prepare.,1
sport heart attack! expect.,1
choose cyber attack! among.,1
north mental crisis! material.,1
your call 911! service.,1
recent gas leak! spend.,1
personal intruder alert! although.,1
computer explosion! behavior.,1
offer bleeding badly! relate.,1
food unconscious person! page.,1
want missing person! agent.,1
building can't breathe! range.,1
boy stroke symptoms! animal.,1
listen call 911! after.,1
experience kidnapping! decision.,1
member help! commercial.,1
take fire! put.,1
popular emergency! bill.,1
improve child trapped! street.,1
individual suspicious package! business.,1
challenge severe bleeding! stage.,1
single car crash! traditional.,1
message stroke symptoms! real.,1
part hacked account! generation.,1
financial explosion! statement.,1
operation heart attack! quite.,1
mention kidnapping! expert.,1
cell explosion! yard.,1
teacher can't breathe! along.,1
then fire! defense.,1
move armed robbery! exactly.,1
civil gas leak! early.,1
face stroke symptoms! go.,1
according choking! purpose.,1
movie severe pain! several.,1
important missing person! environment.,1
social poisoning! before.,1
impact suffocating! eye.,1
social electric shock! challenge.,1
into fire! stay.,1
few suicide attempt! throughout.,1
total suffocating! paper.,1
might overdose! visit.,1
bag call 911! clearly.,1
decide unconscious person! everybody.,1
race mental crisis! property.,1
success domestic violence! officer.,1
teach drowning! role.,1
space emergency! finish.,1
increase cyber attack! because.,1
deep emergency! sit.,1
require fall accident! result.,1
newspaper call 911! position.,1
radio suicide attempt! international.,1
can suffocating! life.,1
investment severe bleeding! bag.,1
after severe pain! understand.,1
watch domestic violence! voice.,1
professional bleeding badly! choose.,1
other drowning! these.,1
care kidnapping! artist.,1
start heart attack! president.,1
gun explosion! safe.,1
left severe bleeding! specific.,1
science gas leak! attack.,1
new electric shock! sea.,1
stop choking! customer.,1
remain drowning! area.,1
go mental crisis! society.,1
gun severe bleeding! lawyer.,1
son can't breathe! fast.,1
ground drowning! husband.,1
rise mental crisis! structure.,1
tree cyber attack! bill.,1
candidate severe bleeding! ahead.,1
image bleeding badly! hit.,1
south choking! around.,1
thus unconscious person! score.,1
yet kidnapping! computer.,1
nation i need assistance! door.,1
difficult fire! to.,1
last seizure! wall.,1
both cyber attack! tv.,1
leader car crash! artist.,1
question explosion! determine.,1
north intruder alert! especially.,1
everything hacked account! choice.,1
assume severe bleeding! develop.,1
well help! need.,1
from help! recognize.,1
week fall accident! less.,1
commercial electric shock! discuss.,1
to emergency! six.,1
study suicide attempt! those.,1
decade domestic violence! would.,1
site suffocating! near.,1
skin unconscious person! always.,1
any hacked account! figure.,1
own choking! claim.,1
must can't breathe! then.,1
wide intruder alert! radio.,1
consider gas leak! interest.,1
event gas leak! recently.,1
half suspicious package! stuff.,1
thousand stroke symptoms! wide.,1
kitchen call 911! fly.,1
reflect call 911! energy.,1
hand accident here! no.,1
floor seizure! forward.,1
nor car crash! social.,1
dream seizure! election.,1
let cyber attack! east.,1
section missing person! fast.,1
throughout i'm injured! situation.,1
bill i need assistance! safe.,1
former can't breathe! that.,1
light car crash! throughout.,1
interest heart attack! central.,1
feeling gas leak! different.,1
age severe pain! at.,1
effort kidnapping! one.,1
cost car crash! table.,1
if poisoning! military.,1
finally mental crisis! third.,1
environmental armed robbery! ok.,1
interest unconscious person! suffer.,1
recognize can't breathe! develop.,1
nothing cyber attack! seat.,1
paper help! decide.,1
blue suicide attempt! home.,1
any suffocating! condition.,1
more poisoning! kid.,1
partner i need assistance! party.,1
now poisoning! grow.,1
physical help! worry.,1
involve emergency! american.,1
through kidnapping! state.,1
cell call 911! first.,1
smile building collapse! will.,1
factor suspicious package! study.,1
growth suffocating! security.,1
office electric shock! task.,1
he suicide attempt! vote.,1
face stroke symptoms! skin.,1
necessary cyber attack! ground.,1
work poisoning! feeling.,1
music emergency! clearly.,1
deep accident here! realize.,1
form suspicious package! choose.,1
page missing person! pm.,1
easy drowning! effect.,1
whatever can't breathe! language.,1
church heart attack! law.,1
arm seizure! stop.,1
issue call 911! we.,1
thank child trapped! million.,1
sing drowning! remember.,1
evidence i'm injured! deal.,1
we building collapse! different.,1
much drowning! authority.,1
maybe cyber attack! serve.,1
movie allergic reaction! charge.,1
once gas leak! get.,1
idea electric shock! current.,1
make seizure! certainly.,1
help someone help! simple.,1
between choking! course.,1
college i'm injured! those.,1
find child trapped! though.,1
whole suicide attempt! technology.,1
population fall accident! family.,1
street choking! same.,1
walk i need assistance! hit.,1
particular choking! family.,1
evening electric shock! white.,1
point domestic violence! ask.,1
girl missing person! argue.,1
example choking! join.,1
could stroke symptoms! order.,1
oil gas leak! energy.,1
beat armed robbery! often.,1
special explosion! east.,1
allow severe pain! thought.,1
charge fire! safe.,1
risk severe pain! itself.,1
rather can't breathe! baby.,1
story kidnapping! we.,1
news child trapped! cost.,1
fund gas leak! improve.,1
somebody car crash! law.,1
former missing person! service.,1
must drowning! my.,1
quality electric shock! few.,1
decide can't breathe! law.,1
positive suffocating! fine.,1
save severe bleeding! guy.,1
surface can't breathe! they.,1
better bleeding badly! leg.,1
church someone help! artist.,1
indeed stroke symptoms! summer.,1
standard choking! would.,1
bar call 911! in.,1
president someone help! give.,1
would domestic violence! i.,1
no suicide attempt! war.,1
control suicide attempt! physical.,1
collection drowning! movie.,1
will i need assistance! light.,1
add domestic violence! to.,1
blue electric shock! i.,1
assume overdose! most.,1
night seizure! green.,1
economic can't breathe! financial.,1
go armed robbery! describe.,1
force help! couple.,1
from domestic violence! building.,1
